Name,State,Notes,User,Tags,Created,Runtime,Sweep,Accuracy,Average Inference Time (ms),Dataset Name,GPU Memory Usage (MB),Max Swap Memory Usage (MB),Model Size (MB)
HuggingFaceTB/SmolLM-360M in openbookqa,finished,-,,"HuggingFaceTB/SmolLM-360M, NVIDIA A100-SXM4-80GB, openbookqa",2025-02-03T11:33:29.000Z,21,,23.6,29.437986667633055,openbookqa,1428.061523,0,1380.238037109375
HuggingFaceTB/SmolLM-360M in winogrande,finished,-,,"HuggingFaceTB/SmolLM-360M, NVIDIA A100-SXM4-80GB, winogrande",2025-02-03T11:32:48.000Z,33,,49.3,26.73152310371399,winogrande,1413.519043,0,1380.238037109375
cerebras/Cerebras-GPT-256M in piqa,finished,-,,"NVIDIA A100-SXM4-80GB, cerebras/Cerebras-GPT-256M, piqa",2025-02-03T11:32:20.000Z,16,,49.2,9.396246466636658,piqa,1228.739746,0,976.4748535
cerebras/Cerebras-GPT-256M in boolq,finished,-,,"NVIDIA A100-SXM4-80GB, boolq, cerebras/Cerebras-GPT-256M",2025-02-03T11:31:56.000Z,19,,38.1,11.93373999643326,boolq,1234.578613,0,976.4748535
cerebras/Cerebras-GPT-256M in social_i_qa,finished,-,,"NVIDIA A100-SXM4-80GB, cerebras/Cerebras-GPT-256M, social_i_qa",2025-02-03T11:31:36.000Z,13,,33.7,7.031916550636291,social_i_qa,1093.766602,0,976.4748535
cerebras/Cerebras-GPT-256M in allenai/ai2_arc,finished,-,,"NVIDIA A100-SXM4-80GB, allenai/ai2_arc, cerebras/Cerebras-GPT-256M",2025-02-03T11:31:21.000Z,11,,26.49122807017544,8.930925576728686,allenai/ai2_arc,1109.655273,0,976.4748535
cerebras/Cerebras-GPT-256M in openbookqa,finished,-,,"NVIDIA A100-SXM4-80GB, cerebras/Cerebras-GPT-256M, openbookqa",2025-02-03T11:31:06.000Z,10,,25,8.067033084,openbookqa,1095.922363,0,976.4748535
cerebras/Cerebras-GPT-256M in winogrande,finished,-,,"NVIDIA A100-SXM4-80GB, cerebras/Cerebras-GPT-256M, winogrande",2025-02-03T11:30:46.000Z,13,,49.3,7.061159935474396,winogrande,1068.602539,0,976.4748535
EleutherAI/pythia-160m in piqa,finished,-,,"EleutherAI/pythia-160m, NVIDIA A100-SXM4-80GB, piqa",2025-02-03T11:30:20.000Z,15,,48.6,8.440852480411529,piqa,855.7290039,0,619.2128906
EleutherAI/pythia-160m in boolq,finished,-,,"EleutherAI/pythia-160m, NVIDIA A100-SXM4-80GB, boolq",2025-02-03T11:30:00.000Z,16,,38,9.362114568,boolq,858.2329102,0,619.2128906
EleutherAI/pythia-160m in social_i_qa,finished,-,,"EleutherAI/pythia-160m, NVIDIA A100-SXM4-80GB, social_i_qa",2025-02-03T11:29:40.000Z,13,,33,7.821436939239502,social_i_qa,732.6630859,0,619.2128906
EleutherAI/pythia-160m in allenai/ai2_arc,finished,-,,"EleutherAI/pythia-160m, NVIDIA A100-SXM4-80GB, allenai/ai2_arc",2025-02-03T11:29:24.000Z,11,,26.31578947368421,9.285996693895576,allenai/ai2_arc,744.5805664,0,619.2128906
EleutherAI/pythia-160m in openbookqa,finished,-,,"EleutherAI/pythia-160m, NVIDIA A100-SXM4-80GB, openbookqa",2025-02-03T11:29:08.000Z,11,,25.2,10.136959000587463,openbookqa,734.8911133,0,619.2128906
EleutherAI/pythia-160m in winogrande,finished,-,,"EleutherAI/pythia-160m, NVIDIA A100-SXM4-80GB, winogrande",2025-02-03T11:28:46.000Z,14,,49.3,8.304944160938263,winogrande,705.550293,0,619.2128906
